code,description,count,gold,examples
NullReferenceException,De-referencing a null reference,1201,HumanEval_158_find_max --- completion 0,../error-examples/csharp-error-examples/NullReferenceException.cs
InvalidOperationException,"Operation not valid on data structure, such as pop on empty stack",93, HumanEval_28_concatenate --- completion 0,../error-examples/csharp-error-examples/InvalidOperationException.cs
FormatException,Input string was not in a correct format,77,HumanEval_155_even_odd_count --- completion 1,../error-examples/csharp-error-examples/FormatException.cs
ArgumentOutOfRangeException,Index was out of range,632,HumanEval_33_sort_third --- completion 38,../error-examples/csharp-error-examples/ArgumentOutOfRangeException.cs
IndexOutOfRangeException,Index was outside the bounds of the array,82,HumanEval_83_starts_one_ends --- completion 10,../error-examples/csharp-error-examples/IndexOutOfRangeException.cs
NotImplementedException,The method or operation is not implemented,5,HumanEval_136_largest_smallest_integers --- completion 76,../error-examples/csharp-error-examples/NotImplementedException.cs
ArgumentException,Invalid number,1, HumanEval_19_sort_numbers --- completion 6,../error-examples/csharp-error-examples/ArgumentException.cs
KeyNotFoundException,The given key was not present in the dictionary.,4,HumanEval_19_sort_numbers --- completion 57,../error-examples/csharp-error-examples/KeyNotFoundException.cs
Exception: Invalid beat:,Exception: Invalid beat:,1,HumanEval_17_parse_music --- completion 8,../error-examples/csharp-error-examples/Exception: Invalid beat:.cs
TypeConversion,Cannot convert types,409,HumanEval_155_even_odd_count --- completion 2,../error-examples/csharp-error-examples/TypeConversion.cs
MissingReturn,Not all code paths return a value,155,HumanEval_129_minPath --- completion 116,../error-examples/csharp-error-examples/MissingReturn.cs
UndefinedIdentifier,The name does not exist in the current context,1423,HumanEval_127_intersection --- completion 0,../error-examples/csharp-error-examples/UndefinedIdentifier.cs
SyntaxError,"Expected ], }, or ; but not present",319,HumanEval_43_pairs_sum_to_zero --- completion 0,../error-examples/csharp-error-examples/SyntaxError.cs
Re-declaration,A local or parameter named 'i' cannot be declared in this scope because that name is used in an enclosing local scope to define a local or parameter,2,HumanEval_86_anti_shuffle --- completion 3,../error-examples/csharp-error-examples/Re-declaration.cs
TypeNotFound,Type not found,14,HumanEval_116_sort_array --- completion 0 ,../error-examples/csharp-error-examples/TypeNotFound.cs
Invalid argument,There is no argument given that corresponds to the required formal parameter,11,HumanEval_33_sort_third --- completion 0,../error-examples/csharp-error-examples/Invalid argument.cs
MethodNotFound,does not contain a definition for,20,HumanEval_82_prime_length --- completion 7,../error-examples/csharp-error-examples/MethodNotFound.cs
InvalidAssignment,"Cannot assign to a variable, such as assigning void to a variable",13,HumanEval_104_unique_digits --- completion 11,../error-examples/csharp-error-examples/InvalidAssignment.cs
Timeout,Program is running for more than 5 mins,8, HumanEval_100_make_a_pile --- completion 111,../error-examples/csharp-error-examples/Timeout.cs
OK,Program ran fine,8570,,../error-examples/csharp-error-examples/OK.cs
AssertionError,Assertion failed,18011,,../error-examples/csharp-error-examples/AssertionError.cs
